Periodo;Clave;R0500C0010;R0500C0020;R0500C0030;R0500C0040;R0500C0050;R0510C0010;R0510C0020;R0510C0030;R0510C0040;R0540C0010;R0540C0020;R0540C0030;R0540C0040;R0540C0050;R0550C0010;R0550C0020;R0550C0030;R0550C0040;R0580C0010;R0600C0010;R0620C0010;R0640C0010
31/12/2024;C0279  ;102254969,86;102254969,86;0;0;0;102254969,86;102254969,86;0;0;102254969,86;102254969,86;0;0;0;102254969,86;102254969,86;0;0;29836293,8;7459073,45;3,427201;13,708803
31/12/2024;C0311  ;98524124,54;98524124,54;0;0;0;98524124,54;98524124,54;0;0;98524124,54;98524124,54;0;0;0;98524124,54;98524124,54;0;0;40408394,9;10102098,72;2,438209;9,752837
31/12/2024;C0320  ;467573279,57;467573279,57;0;0;0;467573279,57;467573279,57;0;0;467573279,57;467573279,57;0;0;0;467573279,57;467573279,57;0;0;230653169,63;101128536,51;2,02717;4,623554
31/12/2024;C0325  ;78137739,5;78137739,5;0;0;0;78137739,5;78137739,5;0;0;78137739,5;78137739,5;0;0;0;78137739,5;78137739,5;0;0;32201574,87;8050393,72;2,426519;9,706077
31/12/2024;C0355  ;22672038,17;22672038,17;0;0;0;22672038,17;22672038,17;0;0;22672038,17;22672038,17;0;0;0;22672038,17;22672038,17;0;0;9529055,52;2700000;2,379253;8,397051
31/12/2024;C0368  ;10696646,66;10696646,66;0;0;0;10696646,66;10696646,66;0;0;10696646,66;10696646,66;0;0;0;10696646,66;10696646,66;0;0;6384818,42;2700000;1,675325;3,961721
31/12/2024;C0391  ;36642657,91;36642657,91;0;0;0;36642657,91;36642657,91;0;0;36642657,91;36642657,91;0;0;0;36642657,91;36642657,91;0;0;8800892,98;2700000;4,163516;13,571355
31/12/2024;C0396  ;17074376,07;13074376,07;0;4000000;0;17074376,07;13074376,07;0;4000000;17074376,07;13074376,07;0;4000000;0;13886459,66;13074376,07;0;812083,59;9035385,94;4060417,95;1,889723;3,419958
31/12/2024;C0416  ;144652300,75;144652300,75;0;0;0;144652300,75;144652300,75;0;0;144652300,75;144652300,75;0;0;0;144652300,75;144652300,75;0;0;56661537,41;14165384,35;2,552919;10,211675
31/12/2024;C0437  ;36223395,44;36223395,44;0;0;0;36223395,44;36223395,44;0;0;36223395,44;36223395,44;0;0;0;36223395,44;36223395,44;0;0;9060537,38;2700000;3,99793;13,416072
31/12/2024;C0448  ;31570437,33;30918770,16;0;0;651667,17;30918770,16;30918770,16;0;0;31570437,33;30918770,16;0;0;651667,17;30918770,16;30918770,16;0;0;9524440,46;2700000;3,314676;11,451396
31/12/2024;C0461  ;636985996,45;636985996,45;0;0;0;636985996,45;636985996,45;0;0;636985996,45;636985996,45;0;0;0;636985996,45;636985996,45;0;0;364808054,67;91202013,67;1,746085;6,984341
31/12/2024;C0465  ;26917683,56;26917683,56;0;0;0;26917683,56;26917683,56;0;0;26917683,56;26917683,56;0;0;0;26917683,56;26917683,56;0;0;8087298,57;2700000;3,32839;9,969512
31/12/2022;C0007  ;12155050,45;12155050,45;0;0;0;12155050,45;12155050,45;0;0;12155050,45;12155050,45;0;0;0;12155050,45;12155050,45;0;0;7476220,18;4000000;1,625828;3,038763
31/12/2022;C0012  ;38931316,15;37296600,79;0;0;1634715,36;37296600,79;37296600,79;0;0;38346957,19;37296600,79;0;0;1050356,4;37296600,79;37296600,79;0;0;7002375,99;4000000;5,476278;9,32415
31/12/2022;C0016  ;18875727,22;18875727,22;0;0;0;18875727,22;18875727,22;0;0;18875727,22;18875727,22;0;0;0;18875727,22;18875727,22;0;0;11349068,3;2837267,08;1,663196;6,652785
31/12/2022;C0026  ;540231171,95;540231171,95;0;0;0;540231171,95;540231171,95;0;0;540231171,95;540231171,95;0;0;0;540231171,95;540231171,95;0;0;215440658,85;86629663,59;2,507564;6,236099
31/12/2022;C0031  ;1373440685,43;1234197560,43;0;139243125;0;1373440685,43;1234197560,43;0;139243125;1373440685,43;1234197560,43;0;139243125;0;1280994563,41;1234197560,43;0;46797002,98;697189216,39;233985014,88;1,969968;5,474686
31/12/2022;C0032  ;8938384,6;8938384,6;0;0;0;8938384,6;8938384,6;0;0;8938384,6;8938384,6;0;0;0;8938384,6;8938384,6;0;0;1235620,59;2700000;7,233923;3,310513
31/12/2022;C0037  ;1198435102,3;1173435102,3;25000000;0;0;1198435102,3;1173435102,3;25000000;0;1198435102,3;1173435102,3;25000000;0;0;1198435102,3;1173435102,3;25000000;0;608529354,8;152132338,7;1,969396;7,877583
31/12/2022;C0039  ;595168505,99;595168505,99;0;0;0;595168505,99;595168505,99;0;0;595168505,99;595168505,99;0;0;0;595168505,99;595168505,99;0;0;176424902,96;54750975,9;3,373495;10,870464
31/12/2022;C0046  ;1768470054,21;1768470054,21;0;0;0;1768470054,21;1768470054,21;0;0;1768470054,21;1768470054,21;0;0;0;1768470054,21;1768470054,21;0;0;910017706,65;227504426,66;1,943336;7,773343
31/12/2022;C0058  ;2152089551,74;2152089551,74;0;0;0;2152089551,74;2152089551,74;0;0;2152089551,74;2152089551,74;0;0;0;2152089551,74;2152089551,74;0;0;1078319251,86;485243663,34;1,995781;4,43507
31/12/2022;C0069  ;446022446,88;446022446,88;0;0;0;446022446,88;446022446,88;0;0;446022446,88;446022446,88;0;0;0;446022446,88;446022446,88;0;0;133600653,32;33400163,33;3,338475;13,3539
