TRIMESTRE;CLAVE;NOMBRE;CALLE;NUMERO;POBLACION;CODPOS;PROVINCIA;AMBITO;URL
31/12/2019;C0072; GENERALI ESPAÑA, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS;CALLE ORENSE ;2;MADRID;28020;28;N;
31/12/2020;C0072;GENERALI ESPAÑA, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS;CALLE ORENSE ;2;MADRID;28020;28;N;HTTPS://WWW.GENERALI.ES/CONTENT/DAM/GENERALI-SEGUROS/WEB/QUIENES-SOMOS/DOCUMENTS/INFORME-DE-SOLVENCIA.PDF HTTPS://WWW.GENERALI.ES/CONTENT/DAM/GENERALI-SEGUROS/WEB/QUIENES-SOMOS/DOCUMENTS/INFORME-DE-SOLVENCIA.PDF HTTPS://WWW.GENERALI.ES/CONTENT/DAM/GENER
31/12/2021;C0072;GENERALI ESPAÑA, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS;CALLE ORENSE;2;MADRID;28020;28;N;HTTPS://WWW.GENERALI.ES/CONTENT/DAM/GENERALI-SEGUROS/WEB/QUIENES-SOMOS/ 
31/12/2016;C0075;LA FE PREVISORA COMPAÑIA DE SEGUROS,S.A.;ELDUAYEN;32;VIGO;36202;36;N;
31/12/2017;C0075;LA FE PREVISORA COMPAÑIA DE SEGUROS, S.A;ELDUAYEN;32;VIGO;36202;36;N;
31/12/2018;C0075;LA FE PREVISORA COMPAÑIA DE SEGUROS, S.A.;ELDUAYEN ;32;VIGO;36202;36;N;
31/12/2019;C0075;LA FE PREVISORA COMPAÑIA DE SEGUROS, S.A.;ELDUAYEN;32;VIGO;36202;36;N;
31/12/2020;C0075;LA FE PREVISORA COMPAÑIA DE SEGUROS, S.A.;ELDUAYEN;32;VIGO;36202;36;N;HTTPS://WWW.FE-SEGUROS.COM/
31/12/2021;C0075;LA FE PREVISORA COMPAÑIA DE SEGUROS, S.A.;ELDUAYEN;32;VIGO;36202;36;N;HTTPS://WWW.FE-SEGUROS.COM/
31/12/2016;C0089;GES SEGUROS Y REASEGUROS S.A;PLAZA DE LAS CORTES;2;MADRID;28014;28;N;
31/12/2017;C0089;GES SEGUROS Y REASEGUROS S.A;PLAZA DE LAS CORTES;2;MADRID;28014;28;N;
31/12/2018;C0089;GES SEGUROS Y REASEGUROS S.A;PLAZA DE LAS CORTES;2;MADRID;28014;28;N;
31/12/2019;C0089;GES SEGUROS Y REASEGUROS S.A;PLAZA DE LAS CORTES;2;MADRID;28014;28;N;
31/12/2020;C0089;GES SEGUROS Y REASEGUROS, S.A.;PLAZA DE LAS CORTES;2;MADRID;28014;28;N;WWW.GES.ES
31/12/2021;C0089;GES SEGUROS Y REASEGUROS S.A.;PLAZA DE LAS CORTES;2;MADRID;28014;28;N;WWW.GES.ES
31/12/2016;C0109;ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;TARRAGONA;109;BARCELONA;8014;8;N;
31/12/2017;C0109;ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;RAMIREZ ARELLANO;35;MADRID;28043;28;N;
31/12/2018;C0109;ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;RAMIREZ ARELLANO;35;MADRID;28043;28;N;
31/12/2019;C0109;ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;RAMIREZ ARELLANO;35;MADRID;28043;28;N;
31/12/2020;C0109;ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;RAMIREZ ARELLANO;35;MADRID;28043;28;N;HTTPS://WWW.ALLIANZ.ES/
31/12/2021;C0109;ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;RAMIREZ ARELLANO;35;MADRID;28043;28;N;HTTPS://WWW.ALLIANZ.ES/
31/12/2016;C0114;MARTIERRA SEGUROS S.A.;SANTA ENGRACIA ;126;MADRID;28003;28;N;
