TRIMESTRE;CLAVE;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT55;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT56;PT57;PT58;MONEDA;delegacion;TipoDec
31/12/2023;R0019;2;0;206517058,49;0;1576978,05;0;-7206410,01;-69328,61;197802999,04;0;;;;0;0;0;0;37973301,57;;0;0;178164720,07;1547812,65;0;-11501376,8;-1285528,89;0;166401059,51;0;0;0;0;0;0;0;0;0;53534656,67;;0;-200516;53735172,67;0;0;0;0;354867,89;0;0;0;0;0;434394,65;789262,54;;14850805,89;37973301,57;0;0;E;250;16
31/12/2023;R0019;2;0;1561108,06;0;45500,86;0;-229063,86;-20610,75;1307154,09;0;;;;0;0;0;0;445526,12;;0;0;5545370,21;0;0;68555,11;0;0;5613925,32;0;0;4312414,16;0;0;-4312414,16;0;0;0;503743,86;;0;0;503743,86;0;0;0;0;294834,47;0;0;0;0;0;0;294834,47;;-347409,28;445526,12;0;0;E;276;16
31/12/2023;R0019;2;0;19058222,69;0;141768,83;0;740672,17;-10401,96;19667527,99;0;;;;0;0;0;0;889716,96;;0;0;18054718,07;0;0;-3271198,31;0;0;14783519,76;0;0;3547885,71;0;0;-3547885,71;0;0;0;3950978,15;;0;0;3950978,15;0;0;0;0;63794,13;0;0;0;0;0;0;63794,13;;5306838,62;889716,96;0;0;E;380;16
31/12/2023;R0019;4;0;3958348,47;0;874134,9;0;89778,11;1,52;3173990,16;0;;;;0;0;0;13486,25;4364263,93;;0;0;3456807,55;410416,13;0;-95573,07;-78044,67;0;3028863,02;0;0;0;0;0;0;0;0;0;1375950,75;;0;300249,56;1075701,19;0;0;0;0;3977652,96;0;0;0;0;0;0;3977652,96;;-543963,08;4350777,68;0;0;E;32;16
31/12/2023;R0019;4;0;848745,55;0;5974,16;0;-33157,62;-2378,55;811992,32;0;;;;0;0;0;0;22833,29;;0;0;133104,32;0;0;-407180,91;0;0;-274076,59;0;0;0;0;0;0;0;0;0;98369,88;;0;0;98369,88;0;0;0;0;13342,61;0;0;0;0;0;0;13342,61;;997189,71;22833,29;0;0;E;826;16
31/12/2024;C0069;2;6952508,16;0;-3784,15;138870,36;0;0;0;6809853,65;2108741,23;;;;0;0;0;0;2108741,23;;0;4066786,66;0;1029,52;229302,5;0;0;145863,94;4440923,58;2546699,65;0;86206,92;0;0;2460492,73;322774,94;0;322774,94;1293158,48;;122321,75;49232;1366248,23;0;0;90574,33;90574,33;117081,46;0;0;0;0;0;188723,74;305805,2;;-68224,13;0;0;0;E;620;16
31/12/2024;C0072;1;641228615,64;0;1321559,86;34881779,28;-683515,3;0;-142654,13;607127535,05;1515893,8;;;;0;0;242009,73;9739546,67;271082087,72;;1967141,6;721661551,71;0;14724667,07;-22854131,2;0;1389125,15;3545028,61;686238656,9;-147761409,59;0;0;99696274,8;0;-48065134,79;17191626,94;-52067,27;17139559,67;32442336,67;;7172577,39;4085030,47;35529883,59;-136176,54;0;9866980,19;9730803,65;114129578,37;808982,15;454104,62;0;0;0;3898618,01;119291283,15;;101520454,61;259584637,52;41517670,57;308928,16;E;724;16
31/12/2024;C0089;1;55658862,4;66783,87;-1828,29;557969,57;20296,51;-136,02;-35563,28;55221572,18;944308,58;;;;0;0;258,25;229080,59;11387909,7;;436,22;61298980,3;160982,62;62110,59;1017206,93;-30754,46;138777,29;409649,9;62655177,41;-8487932,79;-329313,89;0;-79129,57;0;-8896376,25;327998,06;-100151,63;227846,43;4340759,46;;1870646,48;49910,84;6161495,1;-7578,46;0;37017,16;29438,7;1376446,27;620734,38;297199,85;0;0;0;355782,81;2650163,31;;3798627,68;10214262,28;50290,98;33836,7;E;724;16
31/12/2024;C0109;1;617635755,86;0;-24246,97;13005704,36;-819224,51;0;305459,58;603481120,44;2581281,24;;;;0;0;0;1811614,47;142564404,31;;547736,63;633692506,59;114352,82;66623709,62;5792903,03;-62175,07;-349451,31;10228010,07;583491339,13;-86251854,57;0;-43276098,46;193075537,03;0;150099780,92;4558735,34;-362212,8;4196522,54;61546864,03;;20045358,8;2534115,71;79058107,12;0;0;0;0;16194081,54;425380;553331,79;0;0;0;5385678,4;22558471,73;;36548206,08;138171508,6;130139490,38;780324,24;E;724;16
31/12/2024;C0133;1;165757459,62;0;0;1278252,42;-54239,45;0;-8594,91;164433562,66;0;;;;0;0;0;506,09;28013971,63;;13793,03;169157520,98;0;521931,02;3718804,03;0;391487,71;1176270,05;173139176,33;-11328716,54;0;0;2934761,49;0;-8393955,05;34678,68;-209262,2;-174583,52;18266285,29;;1124325,5;105709,23;19284901,56;-27689,73;0;2844262,71;2816572,98;3993598,28;0;4456,67;0;0;0;0;3998054,95;;11461518,7;28013465,54;53650337,86;43979979,23;E;724;16
