TRIMESTRE;CLAVE;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;MONEDA;delegacion;TipoDec
31/12/2018;C0511;1;18248529,49;63123943,53;1121572,99;;;;0;865000;0;37406261,4;266989604,14;3757298,16;0;0;0;0;0;22421564,05;26178862,21;17681296,07;40380455,29;;;11550896,38;287933159,35;227596769,75;0;17681296,07;0;40380455,29;218111582,71;299484055,73;287933159,35;0;E;724;16
31/12/2019;C0511;1;19907882,53;77122006,11;513083,57;;;;0;437000;0;7846399,29;134717562,58;3344986,13;0;0;0;0;0;1410152,71;4755138,84;17236886,33;41567524,71;;;-21832927,41;224494601,41;125921079,72;0;17236886,33;0;41567524,71;105631785,36;202661674;224494601,41;0;E;724;16
31/12/2020;C0511;1;15958547,68;69939317,3;52,05;;;;0;0;0;5512184,16;160967445,25;3002898,01;0;0;0;286000;0;3091034,88;6379932,89;15183125,31;45263629,25;;;3839055,48;206565817,92;155455209,04;0;15183125,31;0;45263629,25;124507008,42;210404873,4;206565817,92;0;E;724;16
31/12/2021;C0511;1;5087198,21;80196471,14;0;;;;0;0;0;83287785,8;210256034,36;932265,52;0;0;0;0;0;758341,44;1690606,96;41622190,32;43237868,9;;;20757626,53;271475791,64;126968248,56;0;41622190,32;0;43237868,9;206949748,82;292233418,17;271475791,64;0;E;724;16
31/12/2016;C0516;1;19523307,3;0;618895,24;;;;0;0;0;164840,26;12379196,88;-20798,44;496,31;115396,32;0;242674,88;1850,27;101,53;339720,87;58390,89;0;;;0;25440732,14;11595461,38;0;58390,89;0;0;12097866,9;31621174,2;31621174,2;-6180442,06;E;724;16
31/12/2017;C0516;1;9141881,28;0;644120,48;;;;0;0;0;354055,28;18504157,16;346775,74;730,97;116406,34;0;962648;6212,6;123823,42;1556597,07;33680,88;-78,65;;;3437826,04;22685374,86;17505981,4;0;33680,88;0;-78,65;16981319,62;26123200,9;22685374,86;0;E;724;16
31/12/2017;C0516;2;143098,83;0;0;;;;0;0;0;0;0;2751,58;730,97;0;0;0;0;0;3482,55;3830,93;0;;;0;143447,21;0;0;3830,93;0;0;348,38;143447,21;143447,21;0;E;620;16
31/12/2017;C0516;2;-499583,03;0;0;;;;0;0;0;0;0;15901,17;0;0;0;0;0;0;15901,17;0;0;;;0;-515484,2;0;0;0;0;0;-15901,17;-515484,2;-515484,2;0;E;250;16
31/12/2018;C0516;1;16501141,19;0;593019,94;;;;0;0;0;606537,32;18153176,77;3905,41;521,07;108879,08;0;69946,05;5290,35;0;188541,96;28759,83;57322,95;;;5558876,88;28878336;16953619,51;0;28759,83;0;57322,95;17936071,69;34437212,88;28878336;0;E;724;16
31/12/2018;C0516;2;513509,43;0;0;;;;0;0;0;0;0;-5119,21;0;0;0;0;0;0;-5119,21;0;0;;;0;518628,64;0;0;0;0;0;5119,21;518628,64;518628,64;0;E;250;16
31/12/2018;C0516;2;-1257049,95;0;0;;;;0;0;0;0;0;2666,87;521,07;0;0;0;0;0;3187,94;0;0;;;-199145,06;-1061092,83;0;0;0;0;0;-3187,94;-1260237,89;-1061092,83;0;E;620;16
31/12/2019;C0516;2;-1189425,02;0;0;;;;0;0;0;0;0;3120,38;710,29;0;0;0;0;0;3830,67;2725,56;0;;;-203759,12;-986771,01;0;0;2725,56;0;0;-1105,11;-1190530,13;-986771,01;0;E;620;16
31/12/2019;C0516;1;14207996,3;0;593396,95;;;;0;8568466;0;228517,94;23224820,67;-9868,08;710,29;110525,59;0;1544,05;1661,22;0;104573,07;25302,46;-205,7;;;0;30960662,67;13834439,78;0;25302,46;0;-205,7;23145755,76;37353752,06;37353752,06;-6393089,39;E;724;16
31/12/2019;C0516;2;123848,84;0;0;;;;0;0;0;0;2206,82;0,37;0;0;0;0;0;0;0,37;0;0;;;21574,35;104480,94;2206,82;0;0;0;0;2206,45;126055,29;104480,94;0;E;250;16
