TRIMESTRE;CLAVE;RAMO;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;MONEDA;delegacion;TipoDec
31/12/2018;C0058;99;1;4918305853,8;25302839,74;-1517194,31;780950065,87;-30186115,1;-4151973,02;-11834102,71;4138637447,95;14000872,98;;;;11980036;0;6618667,82;67692915,54;258925685,59;21350227,33;3112668731,89;13133266,14;394097811,33;160347682,95;4349354,16;270944476,49;342434806,6;2967891553,92;79352931,45;1161077;79970,48;1241047,48;845324246,8;116697488,98;122437179,78;839584556;;-2531929,11;0;-33160420,3;79558438,66;43866089,25;43444031,89;14136002,83;5561559,2;4178031,88;3964432,58;415884,15;11159265,05;82859207,58;404117975,19;158633193,25;E;724;16
31/12/2018;C0058;99;3;2645194,14;25841,41;0;1740841,35;0;0;0;930194,2;0;;;;0;0;0;0;0;0;1915723,15;7374,2;927436,89;0;0;0;0;995660,46;0;0;0;0;433561,42;42419,66;167213,81;308767,27;;0;0;0;0;0;0;0;0;0;0;0;0;0;-374233,53;0;E;56;16
31/12/2018;C0058;99;3;30852678,32;162032,1;0;19387751,12;0;0;0;11626959,3;0;;;;0;0;0;0;0;0;22249955,7;47470,16;11030000,19;0;0;0;0;11267425,67;0;0;0;0;5165891,65;531157,4;1969050,74;3727998,31;;0;0;0;0;0;0;0;0;0;0;0;0;0;-3368464,68;0;E;826;16
31/12/2019;C0058;99;3;8359416,64;60667,73;0;4299432,23;0;0;0;4120652,14;0;;;;0;0;0;0;0;0;6004185,8;6624,66;3635850,85;0;0;0;0;2374959,61;0;0;0;0;1492351,72;143716,49;479529,49;1156538,72;;0;0;0;0;0;0;0;0;0;0;0;0;0;589153,81;0;E;276;16
31/12/2019;C0058;99;3;6132912,48;119876,57;0;4135040,27;0;0;0;2117748,78;0;;;;0;0;0;0;0;0;4913920,11;13006,23;3675990,32;0;0;0;0;1250936,02;0;0;0;0;846263,29;74974,04;347695,1;573542,23;;0;0;0;0;0;0;0;0;0;0;0;0;0;293270,53;0;E;250;16
31/12/2019;C0058;99;3;418028,53;3619,69;0;116864,38;0;0;0;304783,84;0;;;;0;0;0;0;0;0;302882,29;2125,56;99181,87;0;0;0;0;205825,98;0;0;0;0;83149,5;14103,85;16127,13;81126,22;;0;0;0;0;0;0;0;0;0;0;0;0;0;17831,64;0;E;300;16
31/12/2019;C0058;99;3;590293,25;6715,57;0;344335,88;0;0;0;252672,94;0;;;;0;0;0;0;0;0;448085,59;-85,42;311418,67;0;0;0;0;136581,5;0;0;0;0;93668,93;8691,86;33860,01;68500,78;;0;0;0;0;0;0;0;0;0;0;0;0;0;47590,66;0;E;348;16
31/12/2019;C0058;99;3;6719783,51;88631,33;0;3905792,51;0;0;0;2902622,33;0;;;;0;0;0;0;0;0;5156156,06;7066,84;3486814,64;0;0;0;0;1676408,26;0;0;0;0;1047329,89;108534,55;374201,61;781662,83;;0;0;0;0;0;0;0;0;0;0;0;0;0;444551,24;0;E;380;16
31/12/2019;C0058;99;3;1723667,73;13593,27;0;881020,54;0;0;0;856240,46;0;;;;0;0;0;0;0;0;1230917,36;3253,66;714513,14;0;0;0;0;519657,88;0;0;0;0;301337,99;33752,96;102746,89;232344,06;;0;0;0;0;0;0;0;0;0;0;0;0;0;104238,52;0;E;620;16
31/12/2019;C0058;99;3;32135692,73;363366,58;0;18316333,67;0;0;0;14182725,64;0;;;;0;0;0;0;0;0;24345278,85;6139,72;16499861,22;0;0;0;0;7851557,35;0;0;0;0;5142455,77;506720,17;1822125,97;3827049,97;;0;0;0;0;0;0;0;0;0;0;0;0;0;2504118,32;0;E;826;16
31/12/2019;C0058;99;3;1084365,71;16762,59;0;592818,03;0;0;0;508310,27;0;;;;0;0;0;0;0;0;832671,14;1757,32;531987,88;0;0;0;0;302440,58;0;0;0;0;181416,75;17093,36;52022,14;146487,97;;0;0;0;0;0;0;0;0;0;0;0;0;0;59381,72;0;E;56;16
31/12/2019;C0058;99;1;5008482625,97;22377214,9;1078180,06;865722096,57;-5840936,05;1527258,41;-115995040,76;4277897287,48;15958613,21;;;;4242128,67;0;1393378,73;114318619,46;273154995,79;22635464,8;3264444168,23;13849368,85;527472404,65;36631510,39;13397658,35;100299150,08;374397342,21;3074948493,3;89463393,56;1896013,09;-201323,82;1694689,27;864677075,39;122143089,62;118274143,52;868546021,49;;966434,78;0;-37368559,42;88625451,56;52223326,92;36912696,64;12507313,92;5587768,48;3522069,33;2911233,68;215901,01;47168402,22;108825385,28;377986438,25;137242255,72;E;724;16
31/12/2020;C0058;99;1;5005088534,89;33720863,99;-1017551,04;791539247,22;17785307,9;-2053495,47;1803754,72;4260180658,33;14619651,16;;;;4112771,44;0;24189,05;61148196,33;207188679,26;25412974,4;3122505230,92;20806695,01;612627307,96;-74256610,37;-770496,85;-51922018,22;369689463,33;2877268992,3;113537920,81;2762006,28;-348011,48;2413994,8;904485100,16;124708686,78;145684357,72;883509429,22;;472294,16;0;-11358943,35;110318089,01;99431439,82;43695721,19;10794007,14;5599538,53;1397410,16;2648723,57;362652,74;59615119,7;124113173,03;392507362,01;127283871,28;E;724;16
31/12/2020;C0058;99;3;651398,99;7951,35;0;170041,63;0;0;0;489308,71;0;;;;0;0;0;0;0;0;523325,71;933,08;207337,32;0;0;0;0;316921,47;0;0;0;0;154606,94;14758,11;16192,59;153172,46;;0;0;0;0;0;0;0;0;0;0;0;0;0;19214,78;0;E;528;16
31/12/2020;C0058;99;3;6148738,76;172354,59;0;3844139,19;0;0;0;2476954,16;0;;;;0;0;0;0;0;0;4718777,57;36398,42;3155080,13;0;0;0;0;1600095,86;0;0;0;0;941355,44;90125,44;325550,38;705930,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;170927,8;0;E;380;16
31/12/2020;C0058;99;3;4266996,8;71484,3;0;2236973,6;0;0;0;2101507,5;0;;;;0;0;0;0;0;0;2803383,67;19779,11;1519384,14;0;0;0;0;1303778,64;0;0;0;0;797408,03;67237,21;248321,53;616323,71;;0;0;0;0;0;0;0;0;0;0;0;0;0;181405,15;0;E;276;16
31/12/2020;C0058;99;3;6519455,46;162432,09;0;4593458;0;0;0;2088429,55;0;;;;0;0;0;0;0;0;4434114,17;217762,12;3247967,71;0;0;0;0;1403908,58;0;0;0;0;890822,75;72569,56;354295,69;609096,62;;0;0;0;0;0;0;0;0;0;0;0;0;0;75424,35;0;E;250;16
31/12/2020;C0058;99;3;828992,34;19987,8;0;625927,93;0;0;0;223052,21;0;;;;0;0;0;0;0;0;529594,49;38162,42;413779,29;0;0;0;0;153977,62;0;0;0;0;104359,82;7602,7;46455,63;65506,89;;0;0;0;0;0;0;0;0;0;0;0;0;0;3567,7;0;E;40;16
31/12/2020;C0058;99;3;8390734,24;201087,9;0;4561396,89;0;0;0;4030425,25;0;;;;0;0;0;0;0;0;6450023,28;71081,42;3850836,3;0;0;0;0;2670268,4;0;0;0;0;1434286,47;146560,21;405070,87;1175775,81;;0;0;0;0;0;0;0;0;0;0;0;0;0;184381,04;0;E;826;16
31/12/2020;C0058;99;3;1339405,95;32977,31;0;897238,8;0;0;0;475144,46;0;;;;0;0;0;0;0;0;934576,38;35976,76;659237,93;0;0;0;0;311315,21;0;0;0;0;194249,97;15672,09;69604,05;140318,01;;0;0;0;0;0;0;0;0;0;0;0;0;0;23511,24;0;E;56;16
31/12/2020;C0058;99;3;1856735,86;45743,69;0;1033818,14;0;0;0;868661,41;0;;;;0;0;0;0;0;0;1430310,64;21437,67;859373,49;0;0;0;0;592374,82;0;0;0;0;308288,99;34237,87;93709,23;248817,63;;0;0;0;0;0;0;0;0;0;0;0;0;0;27468,96;0;E;620;16
31/12/2021;C0058;99;3;580999,71;15736,07;0;394320,63;0;0;0;202415,15;0;;;;0;0;0;0;0;0;414775,11;7849,16;308773,97;0;0;0;0;113850,3;0;0;0;0;77659,33;6264,03;37551,47;46371,89;;0;0;0;0;0;0;0;0;0;0;0;0;0;42192,96;0;E;40;16
31/12/2021;C0058;99;3;2561925,68;67795,67;0;1391740,91;0;0;0;1237980,44;0;;;;0;0;0;0;0;0;1729881,51;28980,09;1046331,66;0;0;0;0;712529,94;0;0;0;0;411031,42;42762,15;153902,74;299890,83;;0;0;0;0;0;0;0;0;0;0;0;0;0;225559,67;0;E;620;16
31/12/2021;C0058;99;3;1312869,58;25640,3;0;535116,99;0;0;0;803392,89;0;;;;0;0;0;0;0;0;770848,15;8307,59;339779,74;0;0;0;0;439376;0;0;0;0;249634,3;23651,27;59937,57;213348;;0;0;0;0;0;0;0;0;0;0;0;0;0;150668,89;0;E;528;16
31/12/2021;C0058;99;3;8625477,73;242658,09;0;5150963,83;0;0;0;3717171,99;0;;;;0;0;0;0;0;0;6097800,28;111173,19;4026624,47;0;0;0;0;2182349;0;0;0;0;1270150,29;131146,01;520612,54;880683,76;;0;0;0;0;0;0;0;0;0;0;0;0;0;654139,23;0;E;380;16
31/12/2021;C0058;99;3;541815,05;17482,77;0;334667,6;0;0;0;224630,22;0;;;;0;0;0;0;0;0;369111,93;8219,2;259815,79;0;0;0;0;117515,34;0;0;0;0;78950,07;6943,92;34571,56;51322,43;;0;0;0;0;0;0;0;0;0;0;0;0;0;55792,45;0;E;300;16
31/12/2021;C0058;99;3;6552720,5;107693,38;0;3327240,43;0;0;0;3333173,45;0;;;;0;0;0;0;0;0;3833665,61;37148,14;2102443,5;0;0;0;0;1768370,25;0;0;0;0;1209360,48;99847,73;501235,28;807972,93;;0;0;0;0;0;0;0;0;0;0;0;0;0;756830,27;0;E;276;16
31/12/2021;C0058;99;1;5135892768,04;38552938,59;2262161;820513705,67;-26698180,22;-1625285,76;-19560440,3;4347431136,28;16068376,81;;;;2621492,3;0;114222,79;97809830,96;247737478,91;21625410,54;3379414898,56;19254773,04;614118444,02;-83101305,65;1062633,38;-41790482,29;369252419,46;3113555457,06;63881641,45;770182,94;31425,83;801608,77;898497837,8;129881983,67;129222413,45;899157408,02;;-746666,22;0;-14638242,21;229516801,27;214131892,84;31140989,4;9941269,46;5634666,24;8071229,78;2648080,48;1205948,44;31507253,19;90149436,99;235116580,6;131123556,05;E;724;16
31/12/2021;C0058;99;3;1779286,48;42513,23;0;1274806,61;0;0;0;546993,1;0;;;;0;0;0;0;0;0;1306178,79;22223,93;1002852,55;0;0;0;0;325550,17;0;0;0;0;224551,44;16943,81;115925,03;125570,22;;0;0;0;0;0;0;0;0;0;0;0;0;0;95872,71;0;E;56;16
31/12/2021;C0058;99;3;12106423,19;345104,31;0;8022917,07;0;0;0;4428610,43;0;;;;0;0;0;0;0;0;8612963;169091,73;6298932,65;0;0;0;0;2483122,08;0;0;0;0;1649488,55;141623,55;779713,22;1011398,88;;0;0;0;0;0;0;0;0;0;0;0;0;0;934089,47;0;E;250;16
31/12/2016;C0069;99;1;252042,64;1894,95;1313,86;225380,38;14843,96;0;-152,26;44867,29;0;;;;0;0;0;0;352985,15;2671,18;4883,24;-46083,01;2313,28;68,56;-67918,69;0;-698;-112061,18;0;0;0;0;33444,35;5012,97;177219,03;-138761,71;;0;0;0;5940,06;5940,06;40803,7;0;6;0;0;0;0;40809,7;604596,75;352985,15;E;724;16
31/12/2017;C0069;99;1;244505,07;-1917,81;131,94;209325,3;-5083,75;0;-2311,71;30621,86;0;;;;0;0;0;4203,35;310552,7;2870,04;0;-42527,11;0;21277,15;-75296,18;0;-682,57;-97228,71;0;0;0;0;29473,46;4845,59;106000,12;-71681,07;;0;0;0;5407,97;5407,97;45216,63;0;1,75;0;0;0;0;45218,38;462328,03;306349,35;E;724;16
31/12/2018;C0069;99;1;248214,58;596,89;-1796,05;211996,97;-799,41;0;-1432,84;35651,88;0;;;;0;0;0;0;332263,19;2643,18;62425,27;-35242,25;32879,94;-21086,68;-52665,8;0;526,28;-78923,12;0;0;0;0;30058,82;4891,33;101219,61;-66269,46;;0;0;0;5376,73;5376,73;42633,32;0;0,34;0;0;0;0;42633,66;467740,44;332263,19;E;724;16
31/12/2019;C0069;99;1;236580,9;-1146,33;754,03;206898,87;1421,9;0;1256,07;29455,56;0;;;;0;0;0;3,37;339483,1;2368,29;78562,77;-22696,86;48561,38;-77663,99;-24502,91;-47558,08;907,24;-46397,05;0;0;0;0;29509,76;5731,01;107725,82;-72485,05;;0;0;0;5078,67;5078,67;79321,57;0;3,11;0;0;0;285048,81;364373,49;120736,89;339479,73;E;724;16
