TRIMESTRE;CLAVE;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT55;PT56;PT57;PT58;PT59;PT60;PT61;PT62;PT63;PT64;PT65;PT66;PT67;PT68;PT69;PT70;PT71;PT72;PT73;PT74;PT75;PT76;PT77;PT78;PT79;PT80;PT81;PT82;PT83;PT84;PT85;PT86;PT87;PT88;moneda;delegacion;TipoDec
31/12/2023;C0610;40348233,75;481964151,65;212259142,13;265693193,54;0;4011815,98;189865190,98;0;0;0;189865190,98;0;1057081241,11;25194505,53;1031886735,58;0;0;44618626,56;0;113,95;0;113,95;0;70917,24;0;27470848,06;25608041,93;1862806,13;13694395,58;35682,38;0;3346669,35;667,12;3346002,23;0;0;10853907,84;31,36;4801576,4;6052300,08;0;0;0;0;41235988,06;1201151,58;0;40034836,48;13362102,14;0;0;13362102,14;8363050,92;62313,59;8300737,33;25802640,47;0;0;25740157,98;62482,49;0;1913495133,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0611;1571625443,75;0;0;0;0;0;15796578975,58;6087334883,92;651213154,18;2009915,76;9054321037,62;1699984,1;54920628507,17;58944763,67;54861683743,5;0;0;485182056,82;85024546,84;15772859,28;7216264,5;8556594,78;0;20426448,67;0;87999377,96;60903479,51;27095898,45;10658376,32;630997,17;0;264669450,58;39368377,4;225301073,18;0;0;67088940,96;1129889,05;35586615,77;30372436,14;0;31297115,76;18206606,51;13090509,25;695544211,31;52542953,91;0;643001257,4;962899051,84;755946039,94;0;206953011,9;1840692774,84;0;1840692774,84;905146288,66;0;85897175,74;818424232,76;824880,16;165735200,73;77442418567,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0613;68689535,61;0;0;0;0;0;0;0;0;0;0;0;895460962,29;159840476,4;735620485,89;0;0;187862033,1;0;22949313,74;0;22949313,74;0;0;88768,06;94847607;94518768,31;328838,69;1607644,43;980409,96;0;67388289,91;17204194,97;50184094,94;0;0;171821801,55;68836971,98;0;102984829,57;0;101637529,75;101319761,75;317768;134505,5;0;121397,56;13107,94;156932480,98;0;0;156932480,98;24863169,16;1927255,48;22935913,68;142953598,77;0;0;142952295,06;1303,71;0;1750355616,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0616;8919039,54;652057,87;0;0;652057,87;0;3794800;0;0;3794800;0;0;303882925,29;37955352,75;265927572,54;0;0;113222451,67;0;5529921,26;0;5529921,26;0;0;47241,41;39165319,61;39165319,61;0;6585439,88;58334351,26;0;3560178,25;0;3560178,25;0;1479259,09;71888370,1;34094822,72;0;37793547,38;0;3095969,45;37678,97;3058290,48;176018,05;0;0;176018,05;112859659,71;0;0;112859659,71;2269354,1;13298,3;2256055,8;47379392,83;0;340133,6;47017120,4;22138,83;0;669619297,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0627;3234663,65;0;0;0;0;0;0;0;0;0;0;0;64110759,96;4199322,38;59911437,58;0;0;7869970,89;0;0;0;0;0;1862403,89;47193,1;2512112,81;2510746,51;1366,3;3204922,71;0;0;243338,38;20165,15;223173,23;0;0;1144177,32;534641,41;0;609535,91;0;228196,14;105191,69;123004,45;949767,34;0;0;949767,34;0;0;0;0;790407,01;0;790407,01;5178475,71;0;0;5178475,71;0;0;83506418,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0628;68906108,12;0;0;0;0;0;890019383,8;0;0;0;890019383,8;0;1129723959,08;9058955,64;985894535,49;0;134770467,95;3745380,19;0;0;0;0;0;0;0;1270241,11;1270241,11;0;760828,13;0;0;1714310,95;11117,29;1703193,66;0;0;4337409,03;299370,38;1075803,73;2962234,92;0;5569824,56;5569824,56;0;41357463,45;4841358,48;0;36516104,97;0;0;0;0;23373483,94;18726,07;23354757,87;22505870,11;0;0;22505870,11;0;0;2189538882,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0631;8578516,02;3130754,71;0;3130754,71;0;0;0;0;0;0;0;0;17477343,81;17477343,81;0;0;0;19710255,68;0;0;0;0;0;0;1421117,47;9333922,27;8874451,74;459470,53;3975101,12;0;0;4980114,82;160677,69;4819437,13;22892251,96;0;9500,94;4238,77;0;5262,17;0;10798655,89;1223962,75;9574693,14;0;0;0;0;0;0;0;0;531786,89;0;531786,89;5715111,99;0;0;5704080,39;11031,6;0;88844177,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0637;148067919,04;11868767,01;0;0;11868767,01;0;1877108724,22;0;18523147,09;0;1830090392,51;28495184,62;2868078536,83;337515385,8;2613594019,07;0;-83030868,04;18001309,84;0;3339,68;0;3339,68;0;0;0;6457259,18;6457259,18;0;8616665,96;0;0;2924045,02;756390,33;2167654,69;0;0;18970424,94;880963;2660151,19;15429310,75;0;511578,94;12508,19;499070,75;231151873,98;0;231151873,98;0;4266000,33;0;0;4266000,33;43138987,13;2714,73;43136272,4;83249426,72;0;47428333,33;35821093,39;0;0;5304413548,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0654;11227027,74;0;0;0;0;0;17270139,16;0;0;14399046,19;2871092,97;0;336913825,49;8282229,29;328631596,2;0;0;175634973,13;169684370,9;0;0;0;0;0;0;1768513,97;1768513,97;0;3758945,14;0;0;423143,12;30384,22;392758,9;0;0;23789613,66;0;4052075,51;19737538,15;0;76898,28;76898,28;0;4581487,77;0;4581487,77;0;3600000;0;0;3600000;10352027,52;0;10352027,52;9506912,13;0;0;9497665,54;9246,59;0;592952904,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0676;30382405,58;0;0;0;0;0;0;0;0;0;0;0;114495956,47;12151516,46;102344440,01;0;0;46390061,73;0;4566573,23;0;4566573,23;0;0;2828561,25;9732009,9;9732009,9;0;26307221,77;0;0;2955695,58;132312,44;2823383,14;0;0;13703596,45;10233222,51;0;3470373,94;0;3326385,16;3326385,16;0;1020041,74;0;0;1020041,74;65277722,25;0;0;65277722,25;16871771,81;4866969,66;12004802,15;24852337,13;0;0;24852336,37;0,76;268537,31;316588815,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0682;7806414,71;0;0;0;0;0;0;0;0;0;0;0;1465454,42;1208661,92;256792,5;0;0;1226834,86;0;369399,65;0;369399,65;0;0;0;839768,02;839768,02;0;0;3383,28;0;14283,91;0;14283,91;14050172,41;0;5911018,73;1351687,5;0;4559331,23;0;5795,37;5795,37;0;815254;0;0;815254;0;0;0;0;379695,29;0;379695,29;288878,45;0;0;288878,45;0;0;31949518,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0683;24262455,98;0;0;0;0;0;1381057,84;0;0;997008;384049,84;0;348547808,28;7974953,43;340572854,85;0;0;6894332,68;3896533,02;4840,01;4840,01;0;0;0;0;2885032,01;2885032,01;0;0;0;0;107927,64;105742,51;2185,13;40385226,29;0;2763112,21;0;1372712,86;1390399,35;0;0;0;0;0;0;0;0;2647272,95;0;0;2647272,95;3405569,91;0;3405569,91;7815678,24;0;0;7815677,87;0,37;0;438102514,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0693;4585116,07;0;0;0;0;0;6280414,46;0;0;0;6280414,46;0;89027863,91;9753615,02;80221560,61;0;-947311,72;1840957,67;882882,74;0;0;0;0;0;301310,89;356268,18;333555,56;22712,62;297092,15;0;0;3403,71;570,03;2833,68;0;0;2930184,83;0;668602,71;2261582,12;0;0;0;0;0;0;0;0;1067000;1067000;0;0;1297915,95;5668,05;1292247,9;1538700,85;0;0;1538700,85;0;0;108568153,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0696;7232044,46;0;0;0;0;0;348310,91;0;0;0;348310,91;0;112310445,24;352938,14;111957507,1;0;0;4007060,06;0;394815,57;394815,57;0;0;0;0;1774646,45;1771360;3286,45;368519,92;0;0;1469078,12;0;1469078,12;0;0;4490034,17;0;3455204,95;1034829,22;0;63,94;63,94;0;288040,31;0;0;288040,31;0;0;0;0;1730561,93;0;1730561,93;1981652,74;0;0;1981652,74;0;0;132388213,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
