TRIMESTRE;CLAVE;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT55;PT56;PT57;PT58;PT59;PT60;PT61;PT62;PT63;PT64;PT65;PT66;PT67;PT68;PT69;PT70;PT71;MONEDA;delegacion;TipoDec
31/12/2020;M0140;0;0;2547183,08;0;857970,46;341178,22;0;1803,08;339375,14;315988,12;2233,94;0;0;0;1029812,34;152092,1;0;877720,24;0;30847359,33;12419447,95;10844,63;0;0;0;0;0;18417066,75;0;0;531484,54;0;138143,2;393341,34;0;2092992,99;57173,16;2035819,83;553004,99;544377,52;0;0;8627,47;0;36572024,93;32599655,44;13300000;13300000;0;0;17659641,75;13300521,81;100284,25;4258835,69;0;0;0;0;0;1931630,23;291616,54;0;604997,71;604997,71;0;0;0;0;0;33204653,15;69776678,08;;724;16
31/12/2021;M0140;0;0;2603689,29;0;873334,7;317993,27;0;3621,72;314371,55;388589,85;2120,27;0;0;0;1021651,2;376940,88;0;644710,32;0;30382972,46;12290014,18;24855,71;0;0;0;0;0;18068102,57;0;0;499111,08;0;113012,7;386098,38;0;2384432,25;0;2384432,25;548437,64;548437,64;0;0;0;0;36418642,72;33885787,95;14000000;14000000;0;0;18626943,77;13985204,2;109702,31;4532037,26;0;0;0;0;0;1541463,81;282619,63;0;1081574,04;1081574,04;0;0;0;0;0;34967361,99;71386004,71;;724;16
31/12/2016;M0167;0;0;497195,13;0;304026,61;1178,48;0;0;1178,48;122931,3;0;0;0;0;69058,74;38135,65;0;30923,09;0;888766,43;636104,82;0;0;0;0;0;0;252661,61;0;0;0;0;0;0;0;393462,88;7172,28;386290,6;72450,57;72450,57;0;0;0;0;1851875,01;10345525,58;3400000;3400000;0;0;6925514,73;53041,53;449329,61;6423143,59;0;-30358,85;0;30358,85;0;63124,83;12755,13;0;0;0;0;0;0;0;0;10345525,58;12197400,59;;724;16
31/12/2017;M0167;0;0;478718,64;0;300700,02;1042,88;0;0;1042,88;113618,39;0;0;0;0;63357,35;39664,92;0;23692,43;0;786621,09;635175,11;0;0;0;0;0;0;151445,98;0;0;0;0;0;0;0;383488,17;11851,42;371636,75;72632,34;72632,34;0;0;0;0;1721460,24;10442830,68;3400000;3400000;0;0;7021994,74;53041,53;458876,06;6510077,15;0;0;0;0;0;33564,53;12728,59;0;0;0;0;0;0;0;0;10442830,68;12164290,92;;724;16
31/12/2018;M0167;0;0;420520,44;0;291978,77;914,92;0;0;914,92;57999,5;0;0;0;0;69627,25;41303,2;0;28324,05;0;836968,86;625620,02;0;0;0;0;0;0;211348,84;0;0;0;0;0;0;0;356987,85;0;356987,85;71669,61;71669,61;0;0;0;0;1686146,76;10485787,45;3400000;3400000;0;0;7125810,91;53041,53;468437,33;6604332,05;0;0;0;0;0;-27275,1;12748,36;0;0;0;0;0;0;0;0;10485787,45;12171934,21;;724;16
31/12/2019;M0167;0;0;421552,97;0;297628,89;945,58;0;0;945,58;51140,56;0;0;0;0;71837,94;41747,3;0;30090,64;0;857354,23;629765,81;0;0;0;0;0;0;227588,42;0;0;0;0;0;0;0;345211,83;2901,84;342309,99;71250,29;71250,29;0;0;0;0;1695369,32;10577597,77;3400000;3400000;0;0;7203041,48;53041,53;477911,74;6672088,21;0;-40023,46;0;40023,46;0;27212,29;12632,54;0;0;0;0;0;0;0;0;10577597,77;12272967,09;;724;16
31/12/2020;M0167;0;0;612566,89;0;281377,24;1024,6;0;0;1024,6;267198,75;0;0;0;0;62966,3;42536,51;0;20429,79;0;869399,73;606467,13;0;0;0;0;0;0;262932,6;0;0;0;0;0;0;0;324390,18;0;324390,18;65528,63;65528,63;0;0;0;0;1871885,43;10591429,91;3400000;3400000;0;0;7281175,07;53041,53;487035,26;6741098,28;0;-25443,71;0;25443,71;0;-52136,75;12164,7;0;0;0;0;0;0;0;0;10591429,91;12463315,34;;724;16
31/12/2021;M0167;0;0;869022,67;0;369855,25;1084,34;0;0;1084,34;428887,4;0;0;0;0;69195,68;47380,61;0;21815,07;0;1343154,9;599632,57;0;0;0;0;0;0;743522,33;0;0;0;0;0;0;0;309549,29;0;309549,29;62848,51;62848,51;0;0;0;0;2584575,37;10514558,57;3400000;3400000;0;0;7317158,74;53041,53;496020,64;6768096,57;0;-89745,16;0;89745,16;0;-100874,51;11980,5;0;0;0;0;0;0;0;0;10514558,57;13099133,94;;724;16
31/12/2016;M0177;0;0;947119,62;0;0;0;0;0;0;0;0;0;0;0;947119,62;13686,04;0;933433,58;0;119901,81;0;0;0;0;0;0;0;119901,81;0;0;2371173,71;0;0;0;2371173,71;9477,96;0;9477,96;0;0;0;0;0;0;3447673,1;4540607,38;4169521,47;4169521,47;0;0;491792,72;0;0;491792,72;0;-81821,98;0;81821,98;0;-38884,83;0;0;28612,59;28612,59;0;0;0;0;0;4569219,97;8016893,07;;724;99
31/12/2017;M0177;0;0;905381,29;0;0;84,87;0;84,87;0;1583,7;0;0;0;0;903712,72;7137,12;0;896575,6;0;87506,21;0;0;0;0;0;0;0;87506,21;0;0;2371173,71;0;0;0;2371173,71;11235,69;0;11235,69;0;0;0;0;0;0;3375296,9;4530987,66;4169521,47;4169521,47;0;0;409970,74;0;0;409970,74;0;-38884,83;0;38884,83;0;-9619,72;0;0;40450,82;40450,82;0;0;0;0;0;4571438,48;7946735,38;;724;99
